Row_ID,As_Of_Date,City,City_Tier,City_Multiplier,Labor_Day_Rate_Min,Labor_Day_Rate_Max,Room_Type,Area_Sqft,Renovation_Level,Paint_Quality,Floor_Type,Floor_Quality,Ceiling_Type,Ceiling_Quality,Has_Electrical,Furniture_Level,Kitchen_Package,Bathroom_Package,Painting_Material_Cost,Painting_Labor_Cost,Flooring_Material_Cost,Flooring_Labor_Cost,Ceiling_Material_Cost,Ceiling_Labor_Cost,Electrical_Material_Cost,Electrical_Labor_Cost,Kitchen_Package_Cost,Bathroom_Package_Cost,Plumbing_Cost,Furniture_Cost,Wastage_Sundries_Cost,Contractor_Overhead_Cost,GST_Amount,Grand_Total,Total_Cost_per_Sqft
1,2025-07-09,11,1,0.9,480,620,1,82,2,0,5,0,2,2,0,0,2,1,1811.0,563.0,7678.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47214.0,3624.0,10062.0,12873,84390.0,1029.14
2,2025-07-09,6,3,1.2,750,900,3,456,1,3,0,0,1,3,1,3,2,1,10800.0,1704.0,49820.0,2824.0,80202.0,1819.0,47774.0,1655.0,0.0,0.0,0.0,214227.0,37368.0,119961.0,102268,670422.0,1470.22
3,2025-07-09,8,3,1.15,700,850,0,203,1,0,5,3,2,2,1,1,2,2,6289.0,871.0,34727.0,1222.0,0.0,0.0,35784.0,960.0,0.0,490176.0,60487.0,0.0,32380.0,209962.0,157115,1029973.0,5073.76
4,2025-07-09,9,2,0.96,550,700,0,198,0,3,0,2,2,2,0,1,2,0,5035.0,683.0,20796.0,1026.0,0.0,0.0,0.0,0.0,0.0,100811.0,57513.0,0.0,18391.0,27136.0,41650,273041.0,1378.99
5,2025-07-09,4,3,1.1,650,800,2,306,0,0,0,0,2,2,1,1,2,1,8524.0,904.0,30328.0,1438.0,0.0,0.0,50366.0,1065.0,0.0,0.0,0.0,0.0,5770.0,13245.0,20095,131736.0,430.51
6,2025-07-09,12,3,1.0,600,750,0,71,1,3,5,3,2,2,1,1,2,2,2380.0,731.0,11146.0,623.0,0.0,0.0,9945.0,680.0,0.0,222374.0,59964.0,0.0,30356.0,104050.0,79605,521853.0,7350.04
7,2025-07-09,10,2,0.95,550,700,5,97,1,0,0,3,3,0,1,0,2,1,2565.0,665.0,11425.0,590.0,12215.0,653.0,12021.0,606.0,0.0,0.0,0.0,40276.0,4176.0,27951.0,20366,133509.0,1376.38
8,2025-07-09,6,3,1.2,750,900,2,335,1,0,5,3,2,2,1,1,2,1,12081.0,1574.0,65762.0,2640.0,0.0,0.0,45241.0,1305.0,0.0,0.0,0.0,0.0,6751.0,34980.0,30660,200995.0,599.98
9,2025-07-09,21,2,0.98,550,700,4,273,2,0,0,3,1,4,1,1,0,1,4582.0,692.0,25504.0,1724.0,48899.0,844.0,19946.0,848.0,316013.0,0.0,30204.0,0.0,33067.0,106025.0,105903,694251.0,2543.04
10,2025-07-09,18,3,1.2,700,850,3,262,0,0,1,3,3,1,1,1,2,1,8870.0,780.0,108574.0,1688.0,59872.0,1294.0,38538.0,896.0,0.0,0.0,0.0,0.0,21162.0,23815.0,47788,313277.0,1195.71
